model,type,horsepower,color_options,price,Fuel Type,Drive Type,Transmission,Miles Per Gallon
Mirai XLE,Sedan,182,Blue|White|Black,50000,Hydrogen,FWD,Automatic,27
Tacoma TRD,Truck,278,White|Gray|Black,36000,Gas,FWD,Manual,22
Tundra SR5,Truck,389,Black|Blue|Silver,47000,Gas,RWD,Automatic,24
Prius Prime,Sedan,121,White|Silver|Blue,30000,Hybrid,RWD,Automatic,44
Sequoia Platinum,SUV,437,Black|White|Green,70000,Hybrid,4WD,Automatic,36
Venza XLE,SUV,219,Gray|Black|White,39000,Hybrid,4WD,Automatic,36
Avalon XLE,Sedan,301,White|Black|Silver,37000,Gas,RWD,Automatic,28
Yaris LE,Sedan,106,Red|Silver|White,18000,Gas,RWD,Automatic,31
C-HR XLE,SUV,144,Blue|Gray|White,25000,Gas,4WD,Automatic,22
4Runner TRD,SUV,270,Black|White|Orange,42000,Gas,4WD,Manual,20
Mirai XLE,Sedan,182,Blue|White|Black,50000,Hydrogen,RWD,Automatic,32
Tacoma TRD,Truck,278,White|Gray|Black,36000,Gas,FWD,Manual,25
Tundra SR5,Truck,389,Black|Blue|Silver,47000,Gas,RWD,Automatic,21
Prius Prime,Sedan,121,White|Silver|Blue,30000,Hybrid,FWD,Automatic,45
Sequoia Platinum,SUV,437,Black|White|Green,70000,Hybrid,4WD,Automatic,47
Venza XLE,SUV,219,Gray|Black|White,39000,Hybrid,4WD,Automatic,42
Avalon XLE,Sedan,301,White|Black|Silver,37000,Gas,RWD,Automatic,32
Yaris LE,Sedan,106,Red|Silver|White,18000,Gas,FWD,Automatic,29
C-HR XLE,SUV,144,Blue|Gray|White,25000,Gas,4WD,Automatic,23
4Runner TRD,SUV,270,Black|White|Orange,42000,Gas,4WD,Manual,22
Mirai XLE,Sedan,182,Blue|White|Black,50000,Hydrogen,RWD,Automatic,29
Tacoma TRD,Truck,278,White|Gray|Black,36000,Gas,RWD,Manual,28
Tundra SR5,Truck,389,Black|Blue|Silver,47000,Gas,RWD,Automatic,31
Prius Prime,Sedan,121,White|Silver|Blue,30000,Hybrid,RWD,Automatic,36
Sequoia Platinum,SUV,437,Black|White|Green,70000,Hybrid,4WD,Automatic,46
Venza XLE,SUV,219,Gray|Black|White,39000,Hybrid,4WD,Automatic,50
