model,type,horsepower,color_options,price,Fuel Type,Drive Type,Transmission,Miles Per Gallon
Camry XSE Gen8,Sedan,213,White|Black|Red,32980,Hybrid,RWD,Automatic,41
Camry XSE Gen9,Sedan,207,White|Black|Red,32558,Hybrid,RWD,Automatic,42
Supra GR Gen10,Coupe,382,Red|Blue|Black,44269,Gas,FWD,Manual,25
Tacoma TRD Gen11,Truck,283,White|Gray|Black,35146,Gas,FWD,Manual,26
Mirai XLE Gen12,Sedan,178,Blue|White|Black,48517,Hydrogen,RWD,Automatic,27
Camry XSE Gen13,Sedan,199,White|Black|Red,30004,Hybrid,RWD,Automatic,43
Tacoma TRD Gen14,Truck,271,White|Gray|Black,36624,Gas,FWD,Manual,27
RAV4 LE Gen15,SUV,203,Silver|Gray|White,28056,Hybrid,4WD,Automatic,32
Mirai XLE Gen16,Sedan,177,Blue|White|Black,49365,Hydrogen,RWD,Automatic,32
Tacoma TRD Gen17,Truck,283,White|Gray|Black,36781,Gas,FWD,Manual,26
Venza XLE Gen18,SUV,215,Gray|Black|White,39069,Hybrid,4WD,Automatic,43
RAV4 LE Gen19,SUV,200,Silver|Gray|White,26146,Hybrid,4WD,Automatic,37
Camry XSE Gen20,Sedan,205,White|Black|Red,30881,Hybrid,RWD,Automatic,43
Venza XLE Gen21,SUV,210,Gray|Black|White,40766,Hybrid,4WD,Automatic,42
Supra GR Gen22,Coupe,391,Red|Blue|Black,44015,Gas,FWD,Manual,23
Supra GR Gen23,Coupe,390,Red|Blue|Black,47375,Gas,FWD,Manual,20
Supra GR Gen24,Coupe,383,Red|Blue|Black,46906,Gas,FWD,Manual,20
Tacoma TRD Gen25,Truck,274,White|Gray|Black,34316,Gas,FWD,Manual,31
Supra GR Gen26,Coupe,377,Red|Blue|Black,46795,Gas,FWD,Manual,19
RAV4 LE Gen27,SUV,209,Silver|Gray|White,27862,Hybrid,4WD,Automatic,38
Mirai XLE Gen28,Sedan,178,Blue|White|Black,50207,Hydrogen,RWD,Automatic,28
Tacoma TRD Gen29,Truck,274,White|Gray|Black,34704,Gas,FWD,Manual,26
Tacoma TRD Gen30,Truck,276,White|Gray|Black,35546,Gas,FWD,Manual,29
Mirai XLE Gen31,Sedan,181,Blue|White|Black,48029,Hydrogen,RWD,Automatic,29
RAV4 LE Gen32,SUV,203,Silver|Gray|White,26597,Hybrid,4WD,Automatic,38
Mirai XLE Gen33,Sedan,184,Blue|White|Black,51795,Hydrogen,RWD,Automatic,31
Mirai XLE Gen34,Sedan,186,Blue|White|Black,51200,Hydrogen,RWD,Automatic,33
Supra GR Gen35,Coupe,373,Red|Blue|Black,46220,Gas,FWD,Manual,22
Supra GR Gen36,Coupe,374,Red|Blue|Black,45464,Gas,FWD,Manual,23
Venza XLE Gen37,SUV,221,Gray|Black|White,40909,Hybrid,4WD,Automatic,42
Camry XSE Gen38,Sedan,212,White|Black|Red,29161,Hybrid,RWD,Automatic,41
Venza XLE Gen39,SUV,220,Gray|Black|White,39520,Hybrid,4WD,Automatic,43
Mirai XLE Gen40,Sedan,188,Blue|White|Black,49304,Hydrogen,RWD,Automatic,28
Mirai XLE Gen41,Sedan,176,Blue|White|Black,49449,Hydrogen,RWD,Automatic,32
Venza XLE Gen42,SUV,220,Gray|Black|White,38448,Hybrid,4WD,Automatic,41
RAV4 LE Gen43,SUV,206,Silver|Gray|White,27047,Hybrid,4WD,Automatic,35
Supra GR Gen44,Coupe,384,Red|Blue|Black,46432,Gas,FWD,Manual,22
Supra GR Gen45,Coupe,381,Red|Blue|Black,45716,Gas,FWD,Manual,22
Tacoma TRD Gen46,Truck,281,White|Gray|Black,35673,Gas,FWD,Manual,25
Venza XLE Gen47,SUV,220,Gray|Black|White,38527,Hybrid,4WD,Automatic,45
Camry XSE Gen48,Sedan,215,White|Black|Red,31332,Hybrid,RWD,Automatic,45
Tacoma TRD Gen49,Truck,282,White|Gray|Black,36199,Gas,FWD,Manual,26
Venza XLE Gen50,SUV,214,Gray|Black|White,38810,Hybrid,4WD,Automatic,46
Tacoma TRD Gen1,Truck,277,White|Gray|Black,37003,Gas,FWD,Manual,26
Venza XLE Gen2,SUV,212,Gray|Black|White,38117,Hybrid,4WD,Automatic,47
Venza XLE Gen3,SUV,225,Gray|Black|White,37475,Hybrid,4WD,Automatic,47
Mirai XLE Gen4,Sedan,192,Blue|White|Black,49998,Hydrogen,RWD,Automatic,32
Supra GR Gen5,Coupe,392,Red|Blue|Black,45824,Gas,FWD,Manual,23
Tacoma TRD Gen6,Truck,284,White|Gray|Black,35664,Gas,FWD,Manual,31
Tacoma TRD Gen7,Truck,272,White|Gray|Black,37419,Gas,FWD,Manual,30
Tacoma TRD Gen8,Truck,273,White|Gray|Black,35055,Gas,FWD,Manual,28
Venza XLE Gen9,SUV,211,Gray|Black|White,37454,Hybrid,4WD,Automatic,46
RAV4 LE Gen10,SUV,201,Silver|Gray|White,26764,Hybrid,4WD,Automatic,33
Venza XLE Gen11,SUV,224,Gray|Black|White,40341,Hybrid,4WD,Automatic,44
Venza XLE Gen12,SUV,210,Gray|Black|White,40963,Hybrid,4WD,Automatic,41
RAV4 LE Gen13,SUV,201,Silver|Gray|White,28542,Hybrid,4WD,Automatic,35
Supra GR Gen14,Coupe,373,Red|Blue|Black,46861,Gas,FWD,Manual,21
Camry XSE Gen15,Sedan,200,White|Black|Red,29834,Hybrid,RWD,Automatic,47
Camry XSE Gen16,Sedan,204,White|Black|Red,30178,Hybrid,RWD,Automatic,42
Venza XLE Gen17,SUV,210,Gray|Black|White,37204,Hybrid,4WD,Automatic,46
RAV4 LE Gen18,SUV,202,Silver|Gray|White,28819,Hybrid,4WD,Automatic,32
Tacoma TRD Gen19,Truck,268,White|Gray|Black,37933,Gas,FWD,Manual,30
Camry XSE Gen20,Sedan,204,White|Black|Red,31494,Hybrid,RWD,Automatic,42
Tacoma TRD Gen21,Truck,272,White|Gray|Black,34286,Gas,FWD,Manual,27
Mirai XLE Gen22,Sedan,186,Blue|White|Black,51099,Hydrogen,RWD,Automatic,31
Venza XLE Gen23,SUV,215,Gray|Black|White,37227,Hybrid,4WD,Automatic,41
Venza XLE Gen24,SUV,212,Gray|Black|White,38553,Hybrid,4WD,Automatic,45
Mirai XLE Gen25,Sedan,173,Blue|White|Black,50760,Hydrogen,RWD,Automatic,29
Venza XLE Gen26,SUV,218,Gray|Black|White,40957,Hybrid,4WD,Automatic,44
Camry XSE Gen27,Sedan,205,White|Black|Red,31428,Hybrid,RWD,Automatic,44
Venza XLE Gen28,SUV,229,Gray|Black|White,39143,Hybrid,4WD,Automatic,44
RAV4 LE Gen29,SUV,209,Silver|Gray|White,26395,Hybrid,4WD,Automatic,37
Mirai XLE Gen30,Sedan,177,Blue|White|Black,49012,Hydrogen,RWD,Automatic,30
Venza XLE Gen31,SUV,213,Gray|Black|White,39840,Hybrid,4WD,Automatic,43
Tacoma TRD Gen32,Truck,281,White|Gray|Black,36686,Gas,FWD,Manual,30
Mirai XLE Gen33,Sedan,186,Blue|White|Black,48929,Hydrogen,RWD,Automatic,28
RAV4 LE Gen34,SUV,203,Silver|Gray|White,29352,Hybrid,4WD,Automatic,36
Camry XSE Gen35,Sedan,212,White|Black|Red,30468,Hybrid,RWD,Automatic,46
Mirai XLE Gen36,Sedan,190,Blue|White|Black,48113,Hydrogen,RWD,Automatic,27
RAV4 LE Gen37,SUV,199,Silver|Gray|White,29326,Hybrid,4WD,Automatic,38
RAV4 LE Gen38,SUV,205,Silver|Gray|White,29326,Hybrid,4WD,Automatic,38
RAV4 LE Gen39,SUV,213,Silver|Gray|White,27011,Hybrid,4WD,Automatic,35
Camry XSE Gen40,Sedan,196,White|Black|Red,30146,Hybrid,RWD,Automatic,43
Camry XSE Gen41,Sedan,215,White|Black|Red,29421,Hybrid,RWD,Automatic,41
Mirai XLE Gen42,Sedan,179,Blue|White|Black,51275,Hydrogen,RWD,Automatic,31
Tacoma TRD Gen43,Truck,286,White|Gray|Black,37562,Gas,FWD,Manual,26
RAV4 LE Gen44,SUV,213,Silver|Gray|White,28771,Hybrid,4WD,Automatic,32
Camry XSE Gen45,Sedan,204,White|Black|Red,31132,Hybrid,RWD,Automatic,42
Venza XLE Gen46,SUV,223,Gray|Black|White,37173,Hybrid,4WD,Automatic,45
Mirai XLE Gen47,Sedan,183,Blue|White|Black,49162,Hydrogen,RWD,Automatic,28
Camry XSE Gen48,Sedan,201,White|Black|Red,32865,Hybrid,RWD,Automatic,44
Mirai XLE Gen49,Sedan,176,Blue|White|Black,51568,Hydrogen,RWD,Automatic,28
RAV4 LE Gen50,SUV,209,Silver|Gray|White,26275,Hybrid,4WD,Automatic,35
Mirai XLE Gen1,Sedan,173,Blue|White|Black,50877,Hydrogen,RWD,Automatic,32
Tacoma TRD Gen2,Truck,282,White|Gray|Black,37255,Gas,FWD,Manual,31
Mirai XLE Gen3,Sedan,183,Blue|White|Black,48368,Hydrogen,RWD,Automatic,33
Supra GR Gen4,Coupe,392,Red|Blue|Black,47260,Gas,FWD,Manual,20
Tacoma TRD Gen5,Truck,271,White|Gray|Black,34608,Gas,FWD,Manual,31
Venza XLE Gen6,SUV,210,Gray|Black|White,37755,Hybrid,4WD,Automatic,47
Supra GR Gen7,Coupe,383,Red|Blue|Black,44385,Gas,FWD,Manual,25
Camry XSE Gen8,Sedan,200,White|Black|Red,32090,Hybrid,RWD,Automatic,44
Camry XSE Gen9,Sedan,201,White|Black|Red,32678,Hybrid,RWD,Automatic,47
Tacoma TRD Gen10,Truck,287,White|Gray|Black,37209,Gas,FWD,Manual,25
Tacoma TRD Gen11,Truck,273,White|Gray|Black,35130,Gas,FWD,Manual,26
Camry XSE Gen12,Sedan,215,White|Black|Red,30404,Hybrid,RWD,Automatic,44
Camry XSE Gen13,Sedan,203,White|Black|Red,32829,Hybrid,RWD,Automatic,44
Venza XLE Gen14,SUV,225,Gray|Black|White,39188,Hybrid,4WD,Automatic,42
Tacoma TRD Gen15,Truck,275,White|Gray|Black,35726,Gas,FWD,Manual,30
Camry XSE Gen16,Sedan,213,White|Black|Red,32357,Hybrid,RWD,Automatic,42
RAV4 LE Gen17,SUV,199,Silver|Gray|White,28073,Hybrid,4WD,Automatic,36
Tacoma TRD Gen18,Truck,274,White|Gray|Black,34132,Gas,FWD,Manual,27
RAV4 LE Gen19,SUV,207,Silver|Gray|White,27056,Hybrid,4WD,Automatic,38
Supra GR Gen20,Coupe,387,Red|Blue|Black,46812,Gas,FWD,Manual,21
Venza XLE Gen21,SUV,223,Gray|Black|White,39635,Hybrid,4WD,Automatic,46
Venza XLE Gen22,SUV,218,Gray|Black|White,39372,Hybrid,4WD,Automatic,42
RAV4 LE Gen23,SUV,210,Silver|Gray|White,27506,Hybrid,4WD,Automatic,37
Mirai XLE Gen24,Sedan,191,Blue|White|Black,50573,Hydrogen,RWD,Automatic,29
Tacoma TRD Gen25,Truck,270,White|Gray|Black,35291,Gas,FWD,Manual,25
Venza XLE Gen26,SUV,225,Gray|Black|White,38052,Hybrid,4WD,Automatic,41
Tacoma TRD Gen27,Truck,277,White|Gray|Black,34884,Gas,FWD,Manual,27
Mirai XLE Gen28,Sedan,175,Blue|White|Black,48341,Hydrogen,RWD,Automatic,33
Mirai XLE Gen29,Sedan,177,Blue|White|Black,50187,Hydrogen,RWD,Automatic,30
Venza XLE Gen30,SUV,211,Gray|Black|White,39226,Hybrid,4WD,Automatic,47
Mirai XLE Gen31,Sedan,172,Blue|White|Black,51648,Hydrogen,RWD,Automatic,32
Supra GR Gen32,Coupe,374,Red|Blue|Black,44766,Gas,FWD,Manual,24
Tacoma TRD Gen33,Truck,286,White|Gray|Black,37827,Gas,FWD,Manual,28
Tacoma TRD Gen34,Truck,282,White|Gray|Black,34751,Gas,FWD,Manual,25
Supra GR Gen35,Coupe,384,Red|Blue|Black,46875,Gas,FWD,Manual,20
Supra GR Gen36,Coupe,376,Red|Blue|Black,46808,Gas,FWD,Manual,25
Venza XLE Gen37,SUV,220,Gray|Black|White,40794,Hybrid,4WD,Automatic,47
Camry XSE Gen38,Sedan,215,White|Black|Red,30709,Hybrid,RWD,Automatic,42
Mirai XLE Gen39,Sedan,176,Blue|White|Black,50370,Hydrogen,RWD,Automatic,29
Mirai XLE Gen40,Sedan,174,Blue|White|Black,51676,Hydrogen,RWD,Automatic,27
Venza XLE Gen41,SUV,228,Gray|Black|White,39317,Hybrid,4WD,Automatic,44
Supra GR Gen42,Coupe,373,Red|Blue|Black,46164,Gas,FWD,Manual,25
Supra GR Gen43,Coupe,376,Red|Blue|Black,47822,Gas,FWD,Manual,19
Tacoma TRD Gen44,Truck,273,White|Gray|Black,36618,Gas,FWD,Manual,27
Camry XSE Gen45,Sedan,214,White|Black|Red,31766,Hybrid,RWD,Automatic,45
Camry XSE Gen46,Sedan,203,White|Black|Red,30791,Hybrid,RWD,Automatic,45
RAV4 LE Gen47,SUV,211,Silver|Gray|White,28610,Hybrid,4WD,Automatic,32
Camry XSE Gen48,Sedan,207,White|Black|Red,31489,Hybrid,RWD,Automatic,41
Venza XLE Gen49,SUV,212,Gray|Black|White,39530,Hybrid,4WD,Automatic,43
Mirai XLE Gen50,Sedan,176,Blue|White|Black,48435,Hydrogen,RWD,Automatic,29
RAV4 LE Gen1,SUV,211,Silver|Gray|White,26642,Hybrid,4WD,Automatic,35
Camry XSE Gen2,Sedan,205,White|Black|Red,31093,Hybrid,RWD,Automatic,41
Camry XSE Gen3,Sedan,210,White|Black|Red,32319,Hybrid,RWD,Automatic,45
Venza XLE Gen4,SUV,224,Gray|Black|White,39248,Hybrid,4WD,Automatic,44
Venza XLE Gen5,SUV,219,Gray|Black|White,37666,Hybrid,4WD,Automatic,47
Venza XLE Gen6,SUV,215,Gray|Black|White,40978,Hybrid,4WD,Automatic,47
Venza XLE Gen7,SUV,217,Gray|Black|White,38048,Hybrid,4WD,Automatic,43
Tacoma TRD Gen8,Truck,282,White|Gray|Black,35500,Gas,FWD,Manual,29
Venza XLE Gen9,SUV,216,Gray|Black|White,38397,Hybrid,4WD,Automatic,45
Supra GR Gen10,Coupe,390,Red|Blue|Black,44640,Gas,FWD,Manual,24
Supra GR Gen11,Coupe,389,Red|Blue|Black,47882,Gas,FWD,Manual,19
Tacoma TRD Gen12,Truck,280,White|Gray|Black,35844,Gas,FWD,Manual,27
Mirai XLE Gen13,Sedan,183,Blue|White|Black,48539,Hydrogen,RWD,Automatic,31
Tacoma TRD Gen14,Truck,284,White|Gray|Black,34428,Gas,FWD,Manual,31
Venza XLE Gen15,SUV,212,Gray|Black|White,37599,Hybrid,4WD,Automatic,43
Tacoma TRD Gen16,Truck,287,White|Gray|Black,34039,Gas,FWD,Manual,28
Mirai XLE Gen17,Sedan,176,Blue|White|Black,49656,Hydrogen,RWD,Automatic,32
Tacoma TRD Gen18,Truck,272,White|Gray|Black,34630,Gas,FWD,Manual,27
Supra GR Gen19,Coupe,392,Red|Blue|Black,46712,Gas,FWD,Manual,21
Venza XLE Gen20,SUV,212,Gray|Black|White,38945,Hybrid,4WD,Automatic,42
RAV4 LE Gen21,SUV,211,Silver|Gray|White,28121,Hybrid,4WD,Automatic,36
RAV4 LE Gen22,SUV,204,Silver|Gray|White,27330,Hybrid,4WD,Automatic,35
RAV4 LE Gen23,SUV,200,Silver|Gray|White,26079,Hybrid,4WD,Automatic,32
Supra GR Gen24,Coupe,373,Red|Blue|Black,47253,Gas,FWD,Manual,21
Supra GR Gen25,Coupe,377,Red|Blue|Black,47896,Gas,FWD,Manual,21
Supra GR Gen26,Coupe,392,Red|Blue|Black,46917,Gas,FWD,Manual,24
Mirai XLE Gen27,Sedan,191,Blue|White|Black,50608,Hydrogen,RWD,Automatic,30
Camry XSE Gen28,Sedan,198,White|Black|Red,29540,Hybrid,RWD,Automatic,46
Supra GR Gen29,Coupe,386,Red|Blue|Black,45754,Gas,FWD,Manual,20
RAV4 LE Gen30,SUV,205,Silver|Gray|White,29001,Hybrid,4WD,Automatic,32
Camry XSE Gen31,Sedan,197,White|Black|Red,29397,Hybrid,RWD,Automatic,45
RAV4 LE Gen32,SUV,196,Silver|Gray|White,28957,Hybrid,4WD,Automatic,32
Supra GR Gen33,Coupe,377,Red|Blue|Black,45851,Gas,FWD,Manual,22
Supra GR Gen34,Coupe,377,Red|Blue|Black,46108,Gas,FWD,Manual,25
RAV4 LE Gen35,SUV,208,Silver|Gray|White,28534,Hybrid,4WD,Automatic,34
Supra GR Gen36,Coupe,387,Red|Blue|Black,46496,Gas,FWD,Manual,24
Tacoma TRD Gen37,Truck,268,White|Gray|Black,36129,Gas,FWD,Manual,29
RAV4 LE Gen38,SUV,197,Silver|Gray|White,29478,Hybrid,4WD,Automatic,35
RAV4 LE Gen39,SUV,193,Silver|Gray|White,26591,Hybrid,4WD,Automatic,33
RAV4 LE Gen40,SUV,201,Silver|Gray|White,26907,Hybrid,4WD,Automatic,36
Venza XLE Gen41,SUV,219,Gray|Black|White,38419,Hybrid,4WD,Automatic,45
RAV4 LE Gen42,SUV,196,Silver|Gray|White,26566,Hybrid,4WD,Automatic,35
RAV4 LE Gen43,SUV,213,Silver|Gray|White,27372,Hybrid,4WD,Automatic,33
RAV4 LE Gen44,SUV,198,Silver|Gray|White,27687,Hybrid,4WD,Automatic,34
Tacoma TRD Gen45,Truck,275,White|Gray|Black,35947,Gas,FWD,Manual,27
RAV4 LE Gen46,SUV,206,Silver|Gray|White,28755,Hybrid,4WD,Automatic,38
Mirai XLE Gen47,Sedan,172,Blue|White|Black,49443,Hydrogen,RWD,Automatic,30
Mirai XLE Gen48,Sedan,178,Blue|White|Black,49964,Hydrogen,RWD,Automatic,27
Supra GR Gen49,Coupe,378,Red|Blue|Black,45258,Gas,FWD,Manual,24
Supra GR Gen50,Coupe,375,Red|Blue|Black,45842,Gas,FWD,Manual,23
Venza XLE Gen1,SUV,224,Gray|Black|White,37918,Hybrid,4WD,Automatic,46
Venza XLE Gen2,SUV,227,Gray|Black|White,38490,Hybrid,4WD,Automatic,46
Camry XSE Gen3,Sedan,195,White|Black|Red,31871,Hybrid,RWD,Automatic,44
Mirai XLE Gen4,Sedan,177,Blue|White|Black,48736,Hydrogen,RWD,Automatic,28
Venza XLE Gen5,SUV,222,Gray|Black|White,40765,Hybrid,4WD,Automatic,43
Supra GR Gen6,Coupe,383,Red|Blue|Black,44475,Gas,FWD,Manual,23
Venza XLE Gen7,SUV,226,Gray|Black|White,38733,Hybrid,4WD,Automatic,43
Mirai XLE Gen8,Sedan,189,Blue|White|Black,49781,Hydrogen,RWD,Automatic,28
Supra GR Gen9,Coupe,384,Red|Blue|Black,47928,Gas,FWD,Manual,21
Mirai XLE Gen10,Sedan,184,Blue|White|Black,49867,Hydrogen,RWD,Automatic,27
Tacoma TRD Gen11,Truck,269,White|Gray|Black,34766,Gas,FWD,Manual,27
Tacoma TRD Gen12,Truck,280,White|Gray|Black,34610,Gas,FWD,Manual,30
Mirai XLE Gen13,Sedan,173,Blue|White|Black,48452,Hydrogen,RWD,Automatic,27
Mirai XLE Gen14,Sedan,175,Blue|White|Black,49076,Hydrogen,RWD,Automatic,33
Camry XSE Gen15,Sedan,213,White|Black|Red,32381,Hybrid,RWD,Automatic,46
Supra GR Gen16,Coupe,378,Red|Blue|Black,47393,Gas,FWD,Manual,23
Venza XLE Gen17,SUV,210,Gray|Black|White,39405,Hybrid,4WD,Automatic,45
Mirai XLE Gen18,Sedan,192,Blue|White|Black,51857,Hydrogen,RWD,Automatic,31
Supra GR Gen19,Coupe,387,Red|Blue|Black,46177,Gas,FWD,Manual,20
RAV4 LE Gen20,SUV,196,Silver|Gray|White,28149,Hybrid,4WD,Automatic,38
RAV4 LE Gen21,SUV,199,Silver|Gray|White,26285,Hybrid,4WD,Automatic,33
Venza XLE Gen22,SUV,220,Gray|Black|White,38992,Hybrid,4WD,Automatic,47
Supra GR Gen23,Coupe,379,Red|Blue|Black,47486,Gas,FWD,Manual,22
Mirai XLE Gen24,Sedan,181,Blue|White|Black,51570,Hydrogen,RWD,Automatic,30
Supra GR Gen25,Coupe,373,Red|Blue|Black,45400,Gas,FWD,Manual,21
Mirai XLE Gen26,Sedan,181,Blue|White|Black,49023,Hydrogen,RWD,Automatic,28
RAV4 LE Gen27,SUV,198,Silver|Gray|White,27522,Hybrid,4WD,Automatic,38
Mirai XLE Gen28,Sedan,180,Blue|White|Black,51670,Hydrogen,RWD,Automatic,27
Camry XSE Gen29,Sedan,210,White|Black|Red,32108,Hybrid,RWD,Automatic,45
Supra GR Gen30,Coupe,391,Red|Blue|Black,44633,Gas,FWD,Manual,22
Venza XLE Gen31,SUV,215,Gray|Black|White,38887,Hybrid,4WD,Automatic,41
Venza XLE Gen32,SUV,227,Gray|Black|White,39905,Hybrid,4WD,Automatic,43
Mirai XLE Gen33,Sedan,175,Blue|White|Black,48103,Hydrogen,RWD,Automatic,31
Venza XLE Gen34,SUV,219,Gray|Black|White,40027,Hybrid,4WD,Automatic,42
Camry XSE Gen35,Sedan,199,White|Black|Red,31383,Hybrid,RWD,Automatic,44
Camry XSE Gen36,Sedan,200,White|Black|Red,30324,Hybrid,RWD,Automatic,45
Mirai XLE Gen37,Sedan,180,Blue|White|Black,51851,Hydrogen,RWD,Automatic,33
Tacoma TRD Gen38,Truck,269,White|Gray|Black,36402,Gas,FWD,Manual,28
Camry XSE Gen39,Sedan,201,White|Black|Red,31659,Hybrid,RWD,Automatic,43
Tacoma TRD Gen40,Truck,276,White|Gray|Black,35751,Gas,FWD,Manual,30
Venza XLE Gen41,SUV,227,Gray|Black|White,40492,Hybrid,4WD,Automatic,47
Supra GR Gen42,Coupe,390,Red|Blue|Black,45596,Gas,FWD,Manual,19
Tacoma TRD Gen43,Truck,287,White|Gray|Black,37371,Gas,FWD,Manual,30
Camry XSE Gen44,Sedan,198,White|Black|Red,31596,Hybrid,RWD,Automatic,47
RAV4 LE Gen45,SUV,202,Silver|Gray|White,27854,Hybrid,4WD,Automatic,37
Supra GR Gen46,Coupe,378,Red|Blue|Black,47299,Gas,FWD,Manual,22
Camry XSE Gen47,Sedan,215,White|Black|Red,32145,Hybrid,RWD,Automatic,44
Mirai XLE Gen48,Sedan,172,Blue|White|Black,50838,Hydrogen,RWD,Automatic,28
Camry XSE Gen49,Sedan,198,White|Black|Red,32510,Hybrid,RWD,Automatic,45
